series_id	year	period	value	footnote_codes
LAUCN060830000000006	2019	M13	217882	
LAUCN060850000000006	2019	M13	1053723	
LAUCN060870000000006	2019	M13	142277	
LAUCN060890000000006	2019	M13	74353	
LAUCN060910000000006	2019	M13	1326	
LAUCN060930000000006	2019	M13	17227	
LAUCN060950000000006	2019	M13	209527	
LAUCN060970000000006	2019	M13	259394	
LAUCN060990000000006	2019	M13	243454	
LAUCN061010000000006	2019	M13	45785	
LAUCN061030000000006	2019	M13	25650	
LAUCN061050000000006	2019	M13	4693	
LAUCN061070000000006	2019	M13	203980	
LAUCN061090000000006	2019	M13	21317	
LAUCN061110000000006	2019	M13	423390	
LAUCN061130000000006	2019	M13	108658	
LAUCN061150000000006	2019	M13	29997	
LAUCN080010000000006	2019	M13	275440	
LAUCN080030000000006	2019	M13	8726	
LAUCN080050000000006	2019	M13	368504	
LAUCN080070000000006	2019	M13	6937	
LAUCN080090000000006	2019	M13	2175	
LAUCN080110000000006	2019	M13	1919	
LAUCN080130000000006	2019	M13	196991	
LAUCN080140000000006	2019	M13	40520	
LAUCN080150000000006	2019	M13	9871	
LAUCN080170000000006	2019	M13	1173	
LAUCN080190000000006	2019	M13	6110	
LAUCN080210000000006	2019	M13	4165	
LAUCN080230000000006	2019	M13	1888	
LAUCN080250000000006	2019	M13	1525	
LAUCN080270000000006	2019	M13	2088	
LAUCN080290000000006	2019	M13	14519	
LAUCN080310000000006	2019	M13	421322	
LAUCN080330000000006	2019	M13	1164	
LAUCN080350000000006	2019	M13	196248	
LAUCN080370000000006	2019	M13	37073	
LAUCN080390000000006	2019	M13	15344	
LAUCN080410000000006	2019	M13	342735	
LAUCN080430000000006	2019	M13	15251	
LAUCN080450000000006	2019	M13	32910	
LAUCN080470000000006	2019	M13	3820	
LAUCN080490000000006	2019	M13	9978	
LAUCN080510000000006	2019	M13	11594	
LAUCN080530000000006	2019	M13	438	
LAUCN080550000000006	2019	M13	2542	
LAUCN080570000000006	2019	M13	1003	
LAUCN080590000000006	2019	M13	338722	
LAUCN080610000000006	2019	M13	965	
LAUCN080630000000006	2019	M13	4365	
LAUCN080650000000006	2019	M13	4994	
LAUCN080670000000006	2019	M13	32305	
LAUCN080690000000006	2019	M13	206483	
LAUCN080710000000006	2019	M13	6635	
LAUCN080730000000006	2019	M13	2431	
LAUCN080750000000006	2019	M13	11167	
LAUCN080770000000006	2019	M13	76614	
LAUCN080790000000006	2019	M13	533	
LAUCN080810000000006	2019	M13	7450	
LAUCN080830000000006	2019	M13	13038	
LAUCN080850000000006	2019	M13	22010	
LAUCN080870000000006	2019	M13	16582	
LAUCN080890000000006	2019	M13	8495	
LAUCN080910000000006	2019	M13	2454	
LAUCN080930000000006	2019	M13	11292	
LAUCN080950000000006	2019	M13	2631	
LAUCN080970000000006	2019	M13	11395	
LAUCN080990000000006	2019	M13	6408	
LAUCN081010000000006	2019	M13	76276	
LAUCN081030000000006	2019	M13	3019	
LAUCN081050000000006	2019	M13	5506	
LAUCN081070000000006	2019	M13	16491	
LAUCN081090000000006	2019	M13	3606	
LAUCN081110000000006	2019	M13	570	
LAUCN081130000000006	2019	M13	5900	
LAUCN081150000000006	2019	M13	1231	
LAUCN081170000000006	2019	M13	23179	
LAUCN081190000000006	2019	M13	12821	
LAUCN081210000000006	2019	M13	3000	
LAUCN081230000000006	2019	M13	170001	
LAUCN081250000000006	2019	M13	6224	
LAUCN090010000000006	2019	M13	481023	
LAUCN090030000000006	2019	M13	483303	
LAUCN090050000000006	2019	M13	105182	
LAUCN090070000000006	2019	M13	93696	
LAUCN090090000000006	2019	M13	461613	
LAUCN090110000000006	2019	M13	137386	
LAUCN090130000000006	2019	M13	87047	
LAUCN090150000000006	2019	M13	64281	
LAUCN100010000000006	2019	M13	79411	
LAUCN100030000000006	2019	M13	300148	
LAUCN100050000000006	2019	M13	107706	
LAUCN110010000000006	2019	M13	409969	
LAUCN120010000000006	2019	M13	139217	
LAUCN120030000000006	2019	M13	11852	
LAUCN120050000000006	2019	M13	84235	
LAUCN120070000000006	2019	M13	11062	
LAUCN120090000000006	2019	M13	284087	
LAUCN120110000000006	2019	M13	1040519	
LAUCN120130000000006	2019	M13	4819	
LAUCN120150000000006	2019	M13	71865	
LAUCN120170000000006	2019	M13	47377	
LAUCN120190000000006	2019	M13	107718	
LAUCN120210000000006	2019	M13	180626	
LAUCN120230000000006	2019	M13	29797	
LAUCN120270000000006	2019	M13	14185	
LAUCN120290000000006	2019	M13	5828	
LAUCN120310000000006	2019	M13	491946	
LAUCN120330000000006	2019	M13	145919	
LAUCN120350000000006	2019	M13	47030	
LAUCN120370000000006	2019	M13	4650	
LAUCN120390000000006	2019	M13	18833	
LAUCN120410000000006	2019	M13	7145	
LAUCN120430000000006	2019	M13	5384	
LAUCN120450000000006	2019	M13	5772	
LAUCN120470000000006	2019	M13	4340	
LAUCN120490000000006	2019	M13	8502	
LAUCN120510000000006	2019	M13	15587	
LAUCN120530000000006	2019	M13	71923	
LAUCN120550000000006	2019	M13	36094	
LAUCN120570000000006	2019	M13	750269	
LAUCN120590000000006	2019	M13	6947	
LAUCN120610000000006	2019	M13	65457	
LAUCN120630000000006	2019	M13	17145	
LAUCN120650000000006	2019	M13	5623	
LAUCN120670000000006	2019	M13	2855	
LAUCN120690000000006	2019	M13	159027	
LAUCN120710000000006	2019	M13	348027	
LAUCN120730000000006	2019	M13	155493	
LAUCN120750000000006	2019	M13	16725	
LAUCN120770000000006	2019	M13	2639	
LAUCN120790000000006	2019	M13	7469	
LAUCN120810000000006	2019	M13	179993	
LAUCN120830000000006	2019	M13	137624	
LAUCN120850000000006	2019	M13	74119	
LAUCN120860000000006	2019	M13	1383989	
LAUCN120870000000006	2019	M13	46755	
LAUCN120890000000006	2019	M13	41210	
LAUCN120910000000006	2019	M13	96940	
LAUCN120930000000006	2019	M13	17801	
LAUCN120950000000006	2019	M13	762737	
LAUCN120970000000006	2019	M13	184329	
LAUCN120990000000006	2019	M13	733663	
LAUCN121010000000006	2019	M13	237941	
LAUCN121030000000006	2019	M13	494185	
LAUCN121050000000006	2019	M13	305752	
LAUCN121070000000006	2019	M13	26563	
LAUCN121090000000006	2019	M13	132464	
LAUCN121110000000006	2019	M13	145111	
LAUCN121130000000006	2019	M13	82903	
LAUCN121150000000006	2019	M13	189137	
LAUCN121170000000006	2019	M13	255529	
LAUCN121190000000006	2019	M13	32628	
LAUCN121210000000006	2019	M13	18046	
LAUCN121230000000006	2019	M13	8229	
LAUCN121250000000006	2019	M13	4638	
LAUCN121270000000006	2019	M13	254312	
LAUCN121290000000006	2019	M13	14921	
LAUCN121310000000006	2019	M13	31577	
LAUCN121330000000006	2019	M13	9678	
LAUCN130010000000006	2019	M13	9306	
LAUCN130030000000006	2019	M13	4695	
LAUCN130050000000006	2019	M13	4966	
LAUCN130070000000006	2019	M13	1163	
LAUCN130090000000006	2019	M13	17409	
LAUCN130110000000006	2019	M13	9616	
LAUCN130130000000006	2019	M13	40385	
LAUCN130150000000006	2019	M13	50539	
LAUCN130170000000006	2019	M13	5348	
LAUCN130190000000006	2019	M13	7474	
LAUCN130210000000006	2019	M13	67896	
LAUCN130230000000006	2019	M13	4531	
LAUCN130250000000006	2019	M13	7258	
LAUCN130270000000006	2019	M13	6901	
LAUCN130290000000006	2019	M13	18286	
LAUCN130310000000006	2019	M13	36540	
LAUCN130330000000006	2019	M13	9154	
LAUCN130350000000006	2019	M13	10737	
LAUCN130370000000006	2019	M13	2233	
LAUCN130390000000006	2019	M13	20869	
LAUCN130430000000006	2019	M13	5548	
LAUCN130450000000006	2019	M13	55210	
LAUCN130470000000006	2019	M13	33517	
LAUCN130490000000006	2019	M13	4785	
LAUCN130510000000006	2019	M13	139657	
LAUCN130530000000006	2019	M13	1997	
LAUCN130550000000006	2019	M13	10307	
LAUCN130570000000006	2019	M13	135814	
LAUCN130590000000006	2019	M13	59096	
LAUCN130610000000006	2019	M13	880	
LAUCN130630000000006	2019	M13	137796	
LAUCN130650000000006	2019	M13	2654	
LAUCN130670000000006	2019	M13	425167	
LAUCN130690000000006	2019	M13	18869	
LAUCN130710000000006	2019	M13	21377	
LAUCN130730000000006	2019	M13	75134	
LAUCN130750000000006	2019	M13	7988	
